Geschleicht;Land;Anrede;Name;Vorname;Strasse;Ort;PLZ;Email;Telefon;Geboren
Weiblich;German;Frau;Yvonne;Ackermann;Sondanella 95;Grono;6537;YvonneAckermann@armyspy.com;091 523 54 85;9/21/1978
Mänlich;German;Herr;Robert;Gloeckner;Gerbiweg 12;Buch bei Mühleberg;3205;RobertGloeckner@jourrapide.com;032 559 77 45;12/13/1994
Mänlich;German;Herr;Benjamin;Eisenberg;Im Wingert 150;Le Lieu;1345;BenjaminEisenberg@rhyta.com;021 211 36 65;07.08.1942
Mänlich;German;Herr;Dennis;Reiniger;Via Verbano 45;Unterschächen;6465;DennisReiniger@fleckens.hu;041 208 33 64;05.10.1972
Weiblich;German;Frau;Uta;Burger;Mänlichenberg 94;Praz;1788;UtaBurger@einrot.com;026 317 23 95;1/17/1932
Mänlich;German;Herr;Swen;Freitag;Brunnenstrasse 41;Rue;1673;SwenFreitag@fleckens.hu;026 435 97 99;8/20/1936
Mänlich;German;Herr;Peter;Probst;Clius 31;Ober Tuttwil;9546;PeterProbst@armyspy.com;071 759 63 33;9/25/1981
Weiblich;German;Frau;Doreen;Finkel;Sonnenbergstr 123;Brand;4938;DoreenFinkel@teleworm.us;062 363 57 90;10/23/1974
Weiblich;German;Frau;Sophia;Fleischer;Via Stazione 132;Sta. Maria Val Müstair;7536;SophiaFleischer@armyspy.com;081 696 61 61;12/20/1950
Mänlich;German;Herr;Tim;Freitag;Jakobstrasse 115;Oberwil;8309;TimFreitag@gustr.com;044 380 58 26;4/13/1960
Mänlich;German;Herr;Kristian;Boehm;Höhenweg 13;Hemmental;8231;KristianBoehm@gustr.com;044 704 49 40;12/16/1931
Weiblich;German;Frau;Christin;Mehler;Brunnacherstrasse 42;Zürich;8070;ChristinMehler@einrot.com;043 218 12 59;01.04.1947
Weiblich;German;Frau;Sara;Mänlichmann;Kopfhölzistrasse 33;Lauffohr;5200;SaraMänlichmann@cuvox.de;062 832 36 80;3/24/1961
Mänlich;German;Herr;Felix;Klein;Sondanella 6;Gstaad;3780;FelixKlein@dayrep.com;031 492 99 41;09.02.1969
Mänlich;German;Herr;Felix;Frei;Via Muraccio 8;Subingen;4553;FelixFrei@dayrep.com;032 575 97 73;5/31/1955
Mänlich;German;Herr;Klaus;Baumgartner;Via Gabbietta 54;Versegères;1947;KlausBaumgartner@armyspy.com;027 419 33 97;3/16/1988
Weiblich;German;Frau;Christine;Sankt;Grossmatt 96;Bidogno;6958;ChristineSankt@cuvox.de;091 855 92 65;9/14/1983
Weiblich;German;Frau;Lisa;Fuerst;Kopfhölzistrasse 127;Le Fuet;2712;LisaFuerst@cuvox.de;032 957 40 55;1/26/1995
Mänlich;German;Herr;Maximilian;Farber;Brunnacherstrasse 3;Zürich;8010;MaximilianFarber@gustr.com;043 701 40 55;4/19/1934
Weiblich;German;Frau;Katja;Fried;Caltgadira 91;Noranco;6915;KatjaFried@gustr.com;091 607 43 72;1/22/1964
Mänlich;German;Herr;René;Friedman;Via Muraccio 136;Tägerig;5522;ReneFriedman@dayrep.com;056 340 71 68;6/20/1993
Weiblich;German;Frau;Lisa;Wolf;Kirchstrasse 138;La Praz;1148;LisaWolf@jourrapide.com;021 859 17 52;12/31/1995
Mänlich;German;Herr;Marko;Abend;Bösch 104;Cumbel;7142;MarkoAbend@fleckens.hu;081 747 61 97;11/21/1989
Mänlich;German;Herr;Ralf;Faust;Lungolago 97;Tanne;8824;RalfFaust@gustr.com;055 207 27 54;6/24/1975
Weiblich;German;Frau;Andrea;Kappel;Obere Haltenstrasse 72;Lütschental;3816;AndreaKappel@fleckens.hu;033 945 68 95;9/15/1965
Weiblich;German;Frau;Daniela;Amsel;Glennerstrasse 59;Gimel;1188;DanielaAmsel@superrito.com;021 344 97 62;11/17/1974
Weiblich;German;Frau;Johanna;Schwartz;Werkstrasse 119;Cavardiras;7182;JohannaSchwartz@teleworm.us;081 658 19 86;04.09.1953
Weiblich;German;Frau;Sabine;Kortig;Via Altisio 29;Soulce;2864;SabineKortig@teleworm.us;032 615 43 53;11/15/1976
Weiblich;German;Frau;Sophie;Jager;Valéestrasse 89;Othmarsingen;5504;SophieJager@dayrep.com;056 492 61 33;1/24/1940
Weiblich;German;Frau;Melanie;Kaufmann;Via Schliffras 139;Gals;3238;MelanieKaufmann@einrot.com;032 219 81 25;02.11.1969
Mänlich;German;Herr;Dieter;Hertzog;Via Camischolas sura 119;Domat/Ems;7013;DieterHertzog@superrito.com;081 376 93 99;3/24/1962
Weiblich;German;Frau;Ute;Dresdner;Vallerstrasse 46;Perlen;6035;UteDresdner@teleworm.us;041 472 17 27;10.02.1933
Mänlich;German;Herr;Max;Beike;Pfaffacherweg 41;Scherzingen;8596;MaxBeike@dayrep.com;052 996 33 56;06.09.1988
Weiblich;German;Frau;Ulrike;Meister;Schuepisstrasse 59;Ifenthal;4633;UlrikeMeister@jourrapide.com;062 706 74 95;11.10.1984
Weiblich;German;Frau;Manuela;Berg;Fortunastrasse 14;Eriz;3619;ManuelaBerg@superrito.com;033 515 37 58;01.04.1942
Weiblich;German;Frau;Sabine;Eichmann;Erlenweg 63;Bern;3005;SabineEichmann@superrito.com;031 289 66 47;09.08.1988
Weiblich;German;Frau;Stephanie;Ziegler;Kappelergasse 92;Adligenswil;6043;StephanieZiegler@gustr.com;041 333 41 16;08.06.1964
Mänlich;German;Herr;Jens;Naumann;Schulstrasse 84;Wittwil;5053;JensNaumann@fleckens.hu;062 306 32 25;1/18/1946
Mänlich;German;Herr;Christian;Lemann;Neubertbogen 144;Rivaz;1071;ChristianLemann@rhyta.com;021 727 89 74;12/25/1948
Mänlich;German;Herr;Florian;Vogel;Quadra 52;Feldbach;8714;FlorianVogel@gustr.com;044 491 35 25;03.01.1995
Weiblich;German;Frau;Christina;Gaertner;Valéestrasse 115;Palézieux;1607;ChristinaGaertner@jourrapide.com;026 363 52 45;11.12.1931
Mänlich;German;Herr;Tobias;Krause;Bahnhofplatz 64;Altwis;6286;TobiasKrause@jourrapide.com;041 550 36 58;12/20/1981
Weiblich;German;Frau;Nicole;Schiffer;Kappelergasse 147;Abtwil;9030;NicoleSchiffer@jourrapide.com;071 995 66 60;6/20/1940
Weiblich;German;Frau;Ute;Glockner;Langwiesstrasse 76;Wetzwil;8704;UteGlockner@teleworm.us;044 270 24 66;1/26/1959
Weiblich;German;Frau;Diana;Reinhardt;Schuepisstrasse 103;Ifenthal;4633;DianaReinhardt@gustr.com;062 244 92 61;6/23/1996
Mänlich;German;Herr;Luca;Bach;Dreibündenstrasse 42;Dättnau;8406;LucaBach@teleworm.us;052 710 19 73;10.01.1934
Mänlich;German;Herr;Florian;Baum;Landstrasse 18;Saxon;1907;FlorianBaum@armyspy.com;027 557 89 61;04.07.1959
Mänlich;German;Herr;Christian;Kaufmann;Schulstrasse 121;Winkel;8185;ChristianKaufmann@cuvox.de;044 909 16 16;3/14/1958
Mänlich;German;Herr;Michael;Lowe;Quadra 111;Féchy;1173;MichaelLowe@fleckens.hu;021 402 84 95;8/28/1942
Mänlich;German;Herr;Stephan;Gottschalk;Via Stauffacher 137;Villarey;1774;StephanGottschalk@cuvox.de;026 280 22 34;12/28/1972
Weiblich;German;Frau;Anne;Strauss;Spinatsch 121;Moos;8575;AnneStrauss@cuvox.de;052 820 83 83;4/23/1964
Weiblich;German;Dr.;Johanna;Reinhard;Seefeldstrasse 37;Kemmental;8573;JohannaReinhard@einrot.com;052 242 93 59;12.09.1937
Weiblich;German;Frau;Christina;Schroder;Scheidweg 148;Gunzger Allmend;4617;ChristinaSchroder@einrot.com;062 836 82 83;3/21/1980
Mänlich;German;Herr;Marko;Faber;Bösch 131;Coussiberlé;1795;MarkoFaber@teleworm.us;026 580 81 29;11/21/1972
Weiblich;German;Frau;Laura;Beike;Rasenstrasse 135;Hinteregg;8132;LauraBeike@jourrapide.com;044 710 93 18;01.12.1968
Weiblich;German;Frau;Sabrina;Eberhart;Im Sandbüel 74;Freimettigen;3510;SabrinaEberhart@superrito.com;035 387 61 83;8/15/1939
